object_id,x,y,z
bulb1,63,115,26
bulb2,67,188,11
bulb3,160,100,18
bulb4,247,195,25
bulb5,266,90,3
bulb6,358,147,21
bulb7,425,89,26
bulb8,470,188,18
sensor-c73C,267,137,3
sensor-7bfB,99,180,3
sensor-ffdA,317,150,3
